,flag
 、女僱主：#1433 宗個案,nz
小僱,PER
主：,v
第 #1437 宗個案,nz
，無外遊記錄，為第 #1468 宗個案,nz
翠瓊,PER
樓下,v
、牛池灣街市,LOC
茶樓飲茶。,nz
，無外遊記錄，為第 #1467 宗個案,nz
。7 月 6 日,nr
。 7 月 6 日,nz
咳嗽，7 月 9 日,nz
菲律賓回港，,nz
最初,ad
檢測呈,v
第 #1319 宗,m
父親，7 月 9 日,nz
嗅覺、發燒,nz
咳嗽。外傭 ,nz
 第 #1448 宗個案,nz
第 #1561 患個案,nz
，無外遊記錄，7 月 ,nr
氣促。,nz
通州街,LOC
公園壁球中心，負責租場工作。妻子為第 #1581 宗個案,nt
結果為陰性。7 月 11 日開始咳嗽，由檢疫中心,nt
東駿苑金駿閣，丈夫 ( 第 #1550 宗個案患者 )為上環聚點坊點心專門店老闆。7 月 11 日,nt
，無外遊記錄，7 月 11 日,nz
彩福鄒彩樂樓從,nz
事,n
7 ,m
菲律賓，7 月 9 日,nr
嗅覺。7 月 11 日抵港，,nz
慈民邨民健樓，於九龍塘任職地產經紀。7 月 9 日,nt
黃大仙鳳德邨百佳超級市場任職收銀員。7 月 10 日,nt
環聚點坊點心專門店任職點心工人，過,nt
，無外遊記錄，沒有病徵。僱主為第 #1550 宗個案,nz
尖沙嘴寶御酒店任職房間經理。7 月 9 日,nt
，無外遊記錄，7 月 9 開始喉嚨痛。,nz
第 #1428 宗,m
，無外遊記錄，。7 月 7 日開始發燒、咳嗽、肌肉痛,nz
為兼職的士司機，,nr
，無外遊記錄，曾與第 #1444 宗個案,nz
過黃大仙中心翠華餐廳用餐。7 月 10 日,nt
緊密接觸者亦確診為第 #1623 宗個案。,nz
港泰護老中心院友，有長期病患，無外遊記錄，初步檢驗結果為陰性。7 月 11 日,nt
，7 月 11 日從,nz
港泰護老中心院友 ( 第 #1335 宗個案患者 )，7 月 11 日開始發燒。,nt
隔着,v
有否,v
，無外遊記錄，為第 #1314 及 #1364 宗個案,nz
。7 月 7 日,nr
腹痛，由檢疫中心,nt
第 #1306 宗,m
媳婦，7 月 12 日出現喉嚨痛症狀，,nz
內河碼頭建榮飯堂,nt
老闆,n
，無外遊記錄。7 月 11 日於檢疫期間開始發燒、呼吸困難,nz
檢疫中心送院。與第 #1427 宗個案,nt
，7  月 6 日開始發燒、咳嗽,nz
逛,v
慈雲山大快活,nt
，無外遊記錄，7 月 1 日,nz
與第 #1512 宗個案,nz
，無外遊記錄，為第 #1516 宗個案,nz
 7 月 ,nr
港，尚在聯絡中。,nt
為船員，過,nr
，7 月 11 日,nz
抵港，由酒店送院，,nt
。4 月 19 日至 7 月 12 日,nz
，7 月 12 日開始肌肉痛，,nz
，無外遊記錄。7  月 9  日開始發燒、咳嗽及喉嚨痛。妻子為第 #1536 宗個案,nt
檢疫。7 月 11 日開始咳嗽，由檢疫中心,nt
。7 月 11 日從,nz
海員，7 月 12 日由芬蘭抵港，尚在聯絡中。,nt
，無外遊記錄，為第 #1453 宗個案,nz
長沙灣政府合署差餉物業估價署,nt
為 5 個月大嬰兒，過,nr
。2 月 20 至 6 月 30 日與母親 ,nz
 第 #1504 宗個案,nz
胞姊 ,nr
 第 #1503 及 #1505 宗個案,nz
強制檢疫，由檢疫中心,nt
為 過,nr
 、胞姊,nr
胞弟 ,nz
 第 #1505 及 #1502 宗個案,nz
。2 月 20 至 6 月 30 日與子女 ,nz
 第 #1502 、#1503 及 #1505 宗個案,nz
強制檢疫。7 月 11 日開始喉嚨不適，由檢疫中心,nt
 、,nr
 第 #1503 及 #1502 宗個案,nz
為註冊護士，過,nr
麻地聖心癌症專科中心,ORG
，7 月 3 日,nz
，無外遊記錄，為第 #1430 個案,nz
女兒，#1508 ,nz
母親。7 月 10 日開始喉嚨痛。,nz
外孫，#1507 ,nz
女兒。7 月 12 日開始發燒。,nz
，無外遊記錄，母親 ,nz
 第#1538 宗個案,nz
紅十字會西九龍捐血站,nz
捐血,v
捐出,v
血小板,n
 7 月 9 日輸給一留醫,nr
傭為,v
第 #1537 宗個案,nz
，無外遊記錄，為第 #1365 ,nz
 父親 ) 及 #1393 ,nz
 母親 ) 宗個案,nz
，無外遊記錄，為第 #1426 宗個案,nz
7 月 12 日開始喉嚨痛。,nz
，無外遊記錄，與第 #1492 宗個案,nz
7 月 6 日開始喉嚨痛、咳嗽,nz
女兒為第 #1642 宗個案,nz
無外遊記錄，因長期病患經急症室,nz
，7 月 9 至 10 日,nz
醫明愛醫院內科病房，7 月 12 日確診後,nt
立刻,d
轉往,v
第 #1545 宗,m
第 #1563 及 #1602 宗個案,nz
確診個案。,nr
，無外遊記錄，於慈雲山薀莎餐廳任職經理，與第 #1534 、#1567 及 #1569 宗個案,nz
第 #1601 宗個案,nz
百匯軒。7 月 11 日開始發燒、,nt
，無外遊記錄，為第 #1493 宗個案,nz
。7 月 ,nr
，無外遊記錄，為第 #1520 宗個案,nz
為的士司機，過,nr
，無外遊記錄，與上環聚點坊點心專門,nz
聚,v
點坊,n
亦經,v
載,n
第 #1550 宗,m
第 #1430 宗,m
餐廳任職任職樓面及收銀員。7 月 9 日,nz
、喉嚨痕癢,nz
食慾不振。,nz
母親為第 #1626 宗個案,nz
，無外遊記錄，為第 #1517 宗個案,nz
銅鑼灣海景酒店,nt
阿翁小館,PER
職侍,n
應。,v
，無外遊記錄，為第 #1440 宗個案,nz
，#1522 ,nr
 #1531 ,nz
餐。7 月 12 日開始發燒。,nz
，無外遊記錄，為第 #1440 ,nz
 父親 )  及 #1521 ,nz
兒子，父親,nr
。胞妹,n
確診個案 ,nr
第 #1531 宗,m
，無外遊記錄，7 月 7 日開始喉嚨痛、,nz
第 #1544 宗,m
彩虹,n
匯,v
八坊,m
大家,r
樂,v
第 #1624 宗,m
。7 月 12 日,nz
菲律賓抵港，準備轉,nz
登上,v
開台,v
強制檢疫，,nz
 7 月 12 ,nr
，2 月 3 日至 7 月 13 日,nz
，7 月 12 乘,nz
員，過,nr
，7 月 13 日,nz
英國抵港，沒有病徵。,nz
餐廳，,nr
徵。父 ,nr
 第 #1440 宗個案,nz
、母 ,nr
 第 #1421 宗個案,nz
 第 #1522 宗個案,nz
 同為確診個案。,nr
有長期病患，與第 #1430 宗個案,nz
吃火,v
鍋，7 月 7 日,nr
檢疫其間,v
，無外遊記錄。7 月 8 日,nz
牛池灣街市,LOC
菜。僱主為第 #1612 宗個案,nz
，無外遊記錄，7 月 12 日,nz
咳嗽。與第 #1514 、#1567 及 #1569 宗個案,nz
薀莎餐廳,nr
第 #1431 宗,m
，無外遊記錄，沒有病徵，,nz
第 #1497 宗個案,nz
7月13日,TIME
威爾斯親王醫院任職外判支援服務員工，負責環境清潔工作。,nt
為 #1509 及 #1538 宗個案,nz
菲律賓籍外傭，過,nz
，無外遊記錄。7 月 11 日開始發燒。,nz
，無外遊記錄，為第 #1509 宗個案,nz
，無外遊記錄，7 月 10 日,nz
元朗廣場任職顧客服務。7 月 12 日開始發燒。,nz
盤裝修，,nz
觀塘,v
屋苑,n
總部,n
第 #1627 宗個案,nz
 7 月 6 日於瑪嘉烈醫院心臟科進行心臟血管造影檢查，7 月 10 日出院，7 月 11 日開始發燒、,nt
北葵涌普通科門診,nz
醫， 7 月 ,nr
第 #1523 宗個案,nz
第 #1513 宗個案,nz
閒,n
地盤,nz
西九龍文化博化館,nz
傷關係 7 月 4 日,nr
竹園,n
過跌打。,nz
清潔,n
，無外遊記錄，7 月 12 日開始發燒。,nz
彩雲邨,LOC
伴,v
靈實協會庇護工場工作，最後上班日期為 7  月 8 日。7  月 11 日,nt
為上環聚點坊點心專門,nz
。妻子 ,nr
 第 #1474 宗個案,nz
、員工 ( 第 #1479 宗個案,nt
 第 #1518 宗個案,nz
第 #1519 宗,m
，無外遊記錄。7 月 12 日開始發燒。,nz
，無外遊記錄。7 月 11 日,nz
，無外遊記錄，從事文職工作。7 月 12 日,nz
。父親為,v
第#1618宗,m
泰航空 CX906 初次,nt
慈雲山,LOC
過薀莎餐廳、翠河,ns
麥當勞。,nr
有期,a
家族,n
最早,d
 第 #1565 宗個案患者 ) 、女兒 ( 第 #1564 宗個案患者 ) 及外孫 ( 第 #1566 宗個案,nt
 第 #1589 宗個案,nz
 亦為確診個案,nr
北河街室,LOC
內街市,LOC
檔販。丈夫為第 #1616 宗個案,nt
，無外遊記錄，7 月 8 日開始喉嚨痛,nz
北河街街市,LOC
新都城海港,LOC
飲茶。,nr
第 #1608 宗個案,nz
，無外遊記錄，7 月 12 日開始喉嚨痛。患者港泰護老中心院友，7 月 13 日開始發燒，由檢疫中心,nt
第 #1471 宗,m
，無外遊記錄 7 月 10 日,nz
慈雲山飲茶、,nr
 7 月 14 日,nz
醫，其後確診,nr
 7 月 16 日情況轉差，,nz
約 2 時離世。,nz
伸手,v
助人,v
協會匯豐銀行基金樂富護老院,nt
 月 2 日,nr
曾與第 #1513 宗個案,nz
病格,n
。7 月 12 日轉,nr
佛教醫院，當時檢測結果為陰性，#1513 ,nt
第 #1602 宗個案,nz
確診個案,nr
親 ,v
 第 #1556 宗個案患者 ) 、母親 ( 第 #1565 宗個案,nt
 第 #1566 宗個案,nz
，無外遊記錄，7 月 12 日開始喉嚨痛。,nz
 第 #1556 宗個案患者 ) 、女兒 ( 第 #1564 宗個案患者 ) 及外孫 ( 第 #1566 宗個案,nt
，無外遊記錄，7 月 11 日開始喉嚨,nz
 第 #1556 宗個案患者 ) 、外婆 ( 第 #1565 宗個案患者 )  及母親 ( 第 #1564 宗個案,nt
，無外遊記錄，7 月 13 日,nz
喉嚨痛。與第 #1514 、#1534 及 #1569 宗個案,nz
薀莎,PER
女兒 ,v
 第 #1584 宗個案,nz
診個案,nr
第 #1585 宗個案,nz
咳嗽，與第 #1514 、#1534 及 #1567 宗個案,nz
診為,v
第 #1619 、#1620 及 #1621宗個案。,nz
為慈雲山中心街市,LOC
豐盛,v
」菜,n
販。,v
報稱懷疑曾與確診個案有簡短接觸，,nz
確認。,nr
薀莎餐廳任職廚師，過,nz
，無外遊記錄。與第 #1514 、#1534 及 #1569 宗個案,nz
第 #1587 及 #1588 宗個案,nz
母親，7 月 11 日開始頭痛。,nz
，經,nr
唱,v
卡拉 OK。,nz
明愛醫院普通科門診,nt
水症,n
員，7 月 ,nr
。7 月 13 日,nz
搭長,v
榮,v
 BR871 ,nr
港，由富豪東方酒店送院，,nt
司機，週末,nr
兼任,v
兼,v
，無外遊記錄。7 月 10 日出現頭痛症狀，,nz
教友,n
過慈雲山中心,ORG
酒,n
。7 月 14 日,nz
菲律賓航空 P,nr
R,v
300 ,m
初次,d
亞洲國際博覽館送院。7 月 13 日,nt
第 #1472 宗個案,nz
，無外遊記錄。患者為食環署職員，負責收發 / 派信工作，最後工作日為 7 月 10 日。7 月 13 日於檢疫期間出現發燒症狀，由檢疫中心,nt
，無外遊記錄。7 月 13 日,nz
鳳德邨,LOC
第 #1568 及 #1585 宗個案,nz
頭痛。與第 #1542 宗個案,nz
總部 14 樓,nr
第 #1568 宗個案,nz
丈夫、#1584 個案,nz
，無外遊記錄。 7 月 12 日,nz
咳嗽，妻子為第 #1622 宗個案,nz
第 #1572 宗,m
第 #1588 宗個案,nz
，無外遊記錄。最後上課日為 7 月 10 日，7 月 ,nz
13日,TIME
、喉嚨痛、腹瀉,nz
第 #1587 宗個案,nz
，無外遊記錄。7 月 13 日開始發燒、咳嗽,nz
第 #1556 、#1564 、#1565 及 #1566 宗個案,nz
，無外遊記錄。7 月 14 日,nz
，無外遊記錄，7 月 9 日開始喉嚨乾涸。,nz
緊,m
密接,v
觸者,n
德望學校。,nz
，無外遊記錄，7 月 8 日開始發燒。,nz
，7 月 15 日,nz
第 #1514 宗個案,nz
癌症,n
伊利沙伯醫院內科病房。與第 #1513 及 #1563 宗個,nt
同時段,n
第三名,m
外遊記錄，7 月 10 日,nz
，無外遊記錄。7 月 14 日開始發燒，由檢疫中心送院，與第 #1298 宗個案,nt
，無外遊記錄，7 月 14 日開始發燒。,nz
第 #1558 宗,m
 7 月 14 日從菲律賓抵港，,nz
徵。與第 #1648 及 #1655 宗個案,nz
群組，過,nz
第#1533 個案,m
第 #1319,m
、 #1470 及 #1448 個案,nz
第 #1557 宗個案,nz
，無外遊記錄，7 月 14 日,nz
第 #1553 宗,m
，無外遊記錄，為第 #1569 宗個案,nz
，與第 #1620 及 #1621 宗個案,nz
群組。7 月 13 日,nz
，與第 #1619 及 #1621 宗個案,nz
群組。7 月 12 日,nz
、呼吸困難、流鼻水、發燒,nz
，與第 #1619 及 #1620 宗個案,nz
群組。7 月 10 日,nz
，無外遊記錄，為第 #1586 宗個案,nz
，無外遊記錄，為 #1484 宗個案,nz
膳，,nr
檢疫中心送院。7 月 14 日,nt
，無外遊記錄，為第 #1523 宗個案,nz
第 #1625 宗個案,nz
，無外遊記錄，為第 #1624 宗個案,nz
，無外遊記錄，為第 #1542 及 #1628 宗個案,nz
7 月 14 日開始發燒、咳嗽,nz
嘔吐。,nz
，無外遊記錄，為第 #1542 及 #1627 宗個案,nz
7 月 12 日喉嚨不過,nz
一茶樓任職廚師。7 月 9 日,nz
咳嗽，與第 #1512 患個案,nz
頭暈過，與第 #1449 宗個,nt
，無外遊記錄，7 日 2 日,nz
，無外遊記錄，7 月 13 日開始發燒、咳嗽、喉嚨痛、肌肉痛,nz
非緊急救護車調配中心工作，,nz
時會駕駛醫院車,nt
為 7 月 13 日。,nz
，無外遊記錄，7 月 13 日開始喉嚨痕癢,nz
慈雲山民生超市任職收銀員，過,nt
，無外遊記錄。7 月 7 日喉嚨,nz
，無外遊記錄，從事文職,nz
每,r
週會與,nr
籃球,n
 11 日打籃球。7 月 13 日,nz
喉嚨不適。與第 #1654 宗個案,nz
，無外遊記錄。 7 月 9 日,nr
嗅覺、,nz
頭痛。7 月 10 日至 14 日並,nz
醫院工作，7 月 12 日,nt
上呼吸道感染,nz
病毒測試結果為陰性。7 月 15 日,nz
病毒測試，結果為陽性，,nz
與內科病房感染群組無關。,nz
 7  月 16 日,nt
路,n
曾轉,PER
，直至,v
 7 月 23 日下午 2  時 24 分離世。,nz
，無外遊記錄，7 月 15 日開始發燒過，與第 #1512 宗個案,nz
康文署,ORG
二級康樂,nr
荃灣區荃景圍,nr
胡忠,PER
游泳池,n
負,v
責後,v
勤,a
樓層並,nr
公眾,n
樓層，,nr
開放,v
為 7 月 15 日。,nz
，無外遊記錄，咳嗽、肌肉痛,nz
，無外遊記錄，7 月 14 日開始發燒。原定 7 月 13 日,nz
佛教醫院,nt
關節手術，,nr
呼吸道症,n
狀故手術,v
取消,v
，病毒測試結果為陽性，,nz
，3 月 12 日至 7 月 15 日,nz
菲律賓。7 月 ,nr
腹瀉，,nz
，7 月 14 日從,nz
嗅覺，,nz
外遊記錄，7 月 14 日開始喉嚨乾涸。與第 #1573 宗個案,nt
 7 月 11 日與,nz
幾,v
名朋友,n
進餐。,v
咳嗽。與第 #1610 及 #1655宗個案,nz
組。,v
 ，無外遊記錄，7 月 ,nr
喉嚨痛。當晚,nr
雙,v
，病毒測試結果為陽性，轉,nz
 ，無外遊記錄，7 月 11 日,nr
 ，無外遊記錄，7 月 13 日,nr
，無外遊記錄，7 月 14 日開始發燒、咳嗽,nz
喉嚨痕癢，與第 #1617 個案,nz
為荃,nr
港安醫院,ORG
，無外遊記錄。7 月 15 日,nz
喉嚨痕癢。與第 #1638 宗個案,nz
、頭痛、腹瀉,nz
肌肉痛。與第 #1610 及 #1648 宗個案,nz
任職公司,ORG
，無外遊記錄。7 月 14 日開始喉嚨痛。,nt
，無外遊記錄，7 月 8 日開始發燒。與第 #1658 宗個案,nz
，會,v
顧對,nr
方。,PER
咳嗽。與第 #1657 宗個案,nz
檢疫，7 月 ,nr
15  日,m
癢。,nr
曾與 #1701 宗個案,nz
相同,a
第 #1557 及 #1616 宗個案,nz
，無外遊記錄，7 月 7  日,nz
百匯軒，與第 #1703 宗個案,nt
荷里活廣場百老滙任職電器銷售員，過,nz
，無外遊記錄，7 月 10 日開始喉嚨痛。,nz
攤售,v
貨員，,nr
，無外遊記錄，7 月 13 日開始喉嚨痛。,nt
，無外遊記錄，7 月 13 日開始喉嚨痛過，,nz
元氣壽司負責碗碟清潔,nz
洗碗,vn
，無外遊記錄，沒有病徵，與第 #1570 宗個案,nz
菜攤,n
為海員，7 月 ,nr
埃塞俄比亞抵港，已經離港。,nz
，無外遊記錄，7 月 15 日,nz
嗅覺。與第 #1804 宗個案有流行病學關連。,nz
第 #1705 宗,m
，無外遊記錄，7 月 11 日開始喉嚨痕癢。,nt
漢口道一按摩店任職接待員，為第 #1690 宗個案,nz
經馬來西亞抵港，,nr
，7 月 4 日,nr
菲律賓抵港，抵港後,nz
，7 月4 日,nz
第 #1706 宗,m
慈雲山中心任職保安員，,nt
，無外遊記錄，7 月 13 日開始發燒。,nz
葉鵬飛醫生醫務,nr
職護士。,nz
第 #1567 及 #1683 宗個案,nz
，無外遊記錄，為第 #1567 及 #1682 宗個案,nz
7 月 16 日 始喉嚨痕癢。,nt
第 #1492 宗,m
，無外遊記錄。7 月 1 日開始喉嚨痛，由檢疫中心,nt
慈雲山中心點負責洗碗工作，7 月 15 日,nt
、發燒、喉,nr
港泰護老中心院友，過,nt
外遊記錄。7 月 16 日開始咳嗽，由檢疫中心,nt
第 #1583 宗個案,nz
第 #1673 宗個案,nz
，無外遊記錄，為東華三院黃竹坑賽馬會朗逸居員工,nt
一樓,m
任職新巴車長,nr
駕駛 23 號線，車長當值期間,nr
 至 14 日間,nz
 6 時,nr
 1 時許,nr
班次,n
，車身編號分別為3828 ,nz
UT,v
2022,m
4062 ,m
UR,v
6549,m
4072 ,m
8412,m
4076 ,m
UU,v
7152,m
新巴,n
涉,v
徹底,n
清潔，,nr
冷氣,v
隔,v
塵網,nr
總站,v
蒲飛路,LOC
站長室,n
員工休息室亦己徹底消毒清潔。妻子為第 #1713 宗個案,nz
中環置地廣場任職銷售員，過,nz
，無外遊記錄。7 月 12 日,nz
、喉嚨痛、流鼻水、肌肉痛,nz
，7 月 16 日,nz
第 #1400 宗,m
發燒、咳嗽、腹瀉,nz
腹痛,n
餐廳，與第 #1517 及 #1617 宗個案,nz
第 #1709 宗,m
東華三院黃竹坑賽馬會朗逸居院友，有長期病，無外遊記錄，7 月 16 日,nt
院舍二樓，,nz
房間，,nz
5 位,m
院舍探訪。,nz
，無外遊記錄，7 月 16 日開始發燒。曾與 #1456 及 #1660 宗個案,nz
，無外遊記錄，7 月 11 日開始發燒、咳嗽、喉嚨痛、,nz
第 #1662 宗,m
，無外遊記錄，7 月 16 日,nz
第 #1672 宗個案,nz
，無外遊記錄，7 月 11 日開始發燒、咳嗽、,nz
第 #1679 宗個案,nz
《,w
經濟日報,nw
投資,v
理財版,n
編輯。7 月 15 日,nz
 4 至 5 日,nz
上呼吸道病徵，,nz
 7 月 16 日 晚 10 時,nz
陷入,v
昏迷,vn
 11 點多,nr
停頓,v
復甦後轉,nr
後情況轉差，,nr
搶,v
救,v
 7 月 17 日下午 1 時離世。,nz
東華三院黃竹坑賽馬會朗逸居護士，,nt
，無外遊記錄，7 月 17 日開始發燒。,nz
院舍二樓工作，曾照顧第 #1700 宗個案,nz
第 #1699 宗,m
呼吸困難。患者為第 #1607 宗個案,nz
為元朗,nr
檢疫中心送院。與第 #1540 宗個案,nt
第 #1693 宗個案,nz
，無外遊記錄，7 月 15 日開始喉嚨痛、,nt
第 #1542、#1628 及 #1627 宗個案,nz
，無外遊記錄，7 月,nz
16日,TIME
維亞軒任職侍應，與第 #1426 宗個案,nz
頭痛，與第 #1658 宗個案,nz
，無外遊記錄，7 月 16 日開始發燒。,nz
外遊記錄，7 月 15 日開始喉嚨痛，與第 #1636 宗個案,nt
7月15日,TIME
喉嚨痛。與第 #1632 宗個案,nz
發燒。與第 #1583 及 #1689 宗個案,nz
咳嗽，與第 #1760 宗個案,nz
為機師，過,nr
7 月 17 日由哈薩克抵港。,nz
，無外遊記錄，7 月 15 日開始喉嚨痛，由檢疫中心送院，與第 #1583 宗個案,nt
15日,TIME
院。與第#1521、#1569 、#1619 及 #1620 宗個案,nz
為彬記餐廳員工，過,nr
檢疫中心送院，沒有病徵。與第 #1283 宗個案,nt
港。抵港後,nt
強制檢，由檢疫中心,nt
，無外遊記錄，7 月 12 日開始呼吸困難。,nz
真光書院學生，過,nt
 7 月 11 日開始咳嗽， 7 月 12 及 13 日,nz
與第 #1845 及 #1846 宗個案,nz
，無外遊記錄，7 月 13 日開始肌肉痛。,nz
 7 月 9 日與第 #1635 及 #1747 宗個案,nz
蒲崗捷菁,PER
球,n
乒乓球,n
歌手,n
酒廊,n
，無外遊記錄，7 月 15 日開始發燒。,nz
，無外遊記錄，7 月 17 日開始呼吸困難，與第 #1672 及 #1705 宗個案,nz
咳嗽，與 #1772 、#1778 宗個案,nz
屯門眼科醫院,nt
薀莎餐廳。,nr
小販,n
咳嗽。與 #1771 宗個案,nz
海港城,n
3 樓,m
工人,n
 7 月 9 日與第 #1635 及 #1738 宗個案,nz
發冷，為第 #1769 宗個案,nz
為海員，7 月,nr
經南韓,nr
機場客運大樓任職,nr
洗手,v
間清潔,nz
7月,TIME
9 日,t
，無外遊記錄，7 月 17 日,nz
檢疫中心送院。患者為薀莎餐廳員工，與第 #1514 宗個案,nt
嘔吐，,nr
檢疫中心送院。與第 #1397 宗個案,nt
，無外遊記錄，7 月 17 日開始發燒，與第 #1723 宗個案,nt
咳嗽，與第 #1679 及 #1709 宗個案,nz
 8 日,nz
、肚瀉,v
，無外遊記錄，7 月 15 日開始發燒、咳嗽,nz
小西灣藍灣廣場 759 阿信屋任職店員。,nz
泰航空 CX906 抵港，7 月 16 日開始發燒。,nt
職海關，為第 #1748 宗個案,nt
發燒。與第 #1746 宗個案,nz
海港城 3 樓美食廣場任職,nt
，無外遊記錄，沒有病徵，與第 #1743 、#1778 宗個案,nz
，無外遊記錄，7 月 12 日開始喉嚨痛,nz
，無外遊記錄，7 月 17 日開發燒。患者 6 月 30 日,nt
伊利莎伯醫院 A6 內科,nz
呼吸困難症狀。與第 #1513、#1563 及 #1602 宗個案,nz
隔離期,n
陰性病毒檢測結果，7 月 17 日鼻咽拭子檢測結果為陽性。,nz
，無外遊記錄，沒有病徵，與第 #1743 及 #1772  宗個案,nz
外遊記錄，7 月 10 日出現症狀。,nz
外遊記錄，7 月 16 日出現症狀。,nz
外遊記錄，7 月 15 日出現症狀。,nz
遊記錄，7 月 16 日出現症狀。與第 #1368 及 #1400 宗個案有流行病學關連，由檢疫中心,nt
從事娛樂事業，與第 #1739 宗個案,nz
外遊記錄，7 月 12 日出現症狀。與第 #1730 宗個案,nz
外遊記錄，7 月 14 日出現症狀。,nz
菲律賓抵港，7 月 18 日出現症狀，,nz
富豪東方酒店送院。,nt
外遊記錄，7 月 12 日出現症狀。,nz
港，7 月 17 日出現症狀，由檢疫中心,nt
外遊記錄，7 月 17 日出現症狀。與第 #1765 宗個案,nz
遊記錄，7 月 16 日出現症狀，與第 #1613 宗個案,nt
外遊記錄，沒有病徵，,nz
檢疫中心送院，與第 #1607 宗個案,nt
港，並由檢疫中心送院。患者為薀莎餐廳廚師，無外遊記錄，7 月 16 日出現症狀，與第 #1514 宗個案有流行病學關連。患者為法國醫院員工，無外遊記錄，,nt
確診 ,nr
 第 #1523 及 #1544 宗個案患者 )，7 月 14 日入住檢疫中心，由檢疫中心送院。患者無外遊記錄，7 月 16 日出現症狀，與第 #1671 宗個案,nt
外遊記錄，7 月 8 日出現症狀。,nz
外遊記錄，7 月 13 日出現症狀。,nz
外遊記錄，7 月 12 日出現症,nz
外遊記錄，沒有病徵。,nz
從美國抵港，沒有病徵。,nz
外遊記錄，7 月 17 日出現症狀。,nz
為的士司機，無外遊記錄，,nr
徵，與第 #1814 宗個案,nz
徵，與第 #1469 宗個案,nz
外遊記錄，7 月 11 日出現症狀。,nz
外遊記錄，7 月 14 日出現症狀，與第 #1764 宗個案,nz
遊記錄，7 月 16 日出現症狀。曾參與旺角雅蘭中心稻香慶回歸活動，與第 #1632 宗個案,nt
菲律賓抵港，並,nr
法國巴黎抵港，7 月 17 日出現症狀，,nz
港，7 月 12 日出現症狀，並,nt
港，7 月 17 日出現症狀，並,nt
菲律賓抵港，7  月 17 日出現症狀，,nz
 7 月 9 日與第 #1635 、#1738 及 #1743 宗個案,nz
外遊記錄，沒有病徵，與第 #1721 宗個案,nz
外遊記錄，7 月 13 日出現症狀，與第 #1843 及 #1844 宗個案,nz
阿拉伯聯合酋長國抵港，抵港後,nz
強制家居檢疫，由酒店送院。患者無外遊記錄，7 月 15 日出現症狀，與第 #1770 及 #1841 宗個案,nt
港，7 月 18 日出現症狀，由檢疫中心,nt
餐廳食客，與第 #1770、#1842 及 #1862 宗個案,nz
餐廳食客，與第 #1770、#1841 及 #1862 宗個案,nz
外遊記錄，6 月 25 日出現症狀，與第 #1835 及 #1844 宗個案,nz
外遊記錄，7 月 10 日出現症狀，與第 #1835 及 #1843 宗個案,nz
遊記錄，7 月 14 日出現症狀，與第 #1736 及 #1846 宗個案有流行病學關連。患者無外遊記錄，7 月 14 日出現症狀，與第 #1736 及 #1845 宗個案有流行病學關連。患者無外遊記錄，7 月 17 日出現症狀。與第 #1762 宗個案,nt
遊記錄，7 月 16 日出現症狀。患者無外遊記錄，7 月 15 日出現症狀。患者無外遊記錄，7 月 18 日出現症狀，由檢疫中心送院，與第 #1636 及 #1852 宗個案,nt
遊記錄，7 月 14 日出現症狀，由檢疫中心送院，與第 #1636 及 #1851 宗個案,nt
外遊記錄，7 月 9 日出現症狀。,nz
外遊記錄，7 月 13 日出現症狀，與第 #1770、#1841 及 #1842 宗個案,nz
外遊記錄，7 月 11 日出現症狀，與第 #1865 宗個案,nz
外遊記錄，沒有病徵，與第 #1863 宗個案,nz
遊記錄，7 月 15 日出現症狀，由檢疫中心送院，與第 #1583 宗個案,nt
無外遊記錄，7 月 14 日出現症狀。,nz
檢疫中心送院，與第 #1873 宗個案,nt
無外遊記錄，沒有病徵，,nz
檢疫中心送院，與第 #1547 宗個案,nt
檢疫中心送院，與第 #1593 宗個案,nt
無外遊記錄，,nr
病徵，與第 #1870 宗個案有流行病學關連，由檢疫中心送院。患者無外遊記錄，7 月 14 日出現症狀，與第 #1376 宗個案,nt
外遊記錄，7 月 13 日出現症,nz
紅磡街,LOC
巿 1 樓凍肉舖,nz
外遊記錄，7 月 14 日出現症狀，與第 #1867 宗個案,nz
 7 月 20 日,nz
進檢測結果時，,nr
錯調,nr
檢測結果陰性女子,nz
療，期間,nr
壓,v
數小時，當局會,nr
檢疫，並,nr
病毒檢測。陽性患者為 7 月 21 日確診個案，,nz
沿用,v
個案編號 1882,nz
外遊記錄，沒有病徵，與第 #1542、#1714、#1627 及 #1628 宗個案,nz
港，7 月 18 日出現症狀，由檢疫中心送院，與第 #1399 及 #1309 宗個案,nt
港，7 月 18 日出現症狀，由檢疫中心送院，與第 #1399 宗個案,nt
外遊紀錄，7 月 12 日出現症狀。,nz
外遊紀錄，7 月 16 日出現症狀。,nz
外遊紀錄，沒有病徵。,nz
 7 月 17 日出現症狀，與第 #1736 個案,nz
 7 月 19 日出現症狀，與第 #1772 及 #1778 個案,nz
 7 月 18 日出現症狀，由檢疫中心,nt
院，與第 #1617、#1653、#1893 及 #1895 宗,nz
院，與第 #1617、#1653、#1892 及 #1895 宗,nz
 7 月 17 日出現症狀，由檢疫中心,nt
院，與第 #1617、#1653、#1892 及 #1893 宗,nz
外遊紀錄， 7 月 13 日出現症狀。,nz
紀錄， 7 月 13 日出現症狀。,nz
紀錄， 7 月 15 日出現症狀。,nz
外遊紀錄， 7 月 18 日出現症狀，,nz
